"Release Year","Average Rating"
1920,8.1
1921,8.3
1922,7.9
1924,8.2
1925,8.1
1926,8.1
1927,8.2
1928,8.1
1930,8.0
1931,8.2
1932,7.9
1933,7.8
1934,8.1
1935,7.8
1936,8.5
1937,8.1
1938,7.8
1939,8.0
1940,8.0
1941,8.2
1942,8.2
1943,7.8
1944,7.9
1945,8.0
1946,8.0
1947,8.0
1948,8.0
1949,8.1
1950,8.1
1951,7.9
1952,8.1
1953,8.0
1954,8.2
1955,7.9
1956,7.8
1957,8.3
1958,8.1
1959,8.1
1960,8.0
1961,8.0
1962,8.1
1963,8.0
1964,7.9
1965,8.0
1966,8.1
1967,7.9
1968,8.0
1969,7.9
1970,7.8
1971,7.9
1972,8.1
1973,7.9
1974,8.1
1975,8.1
1976,8.0
1977,8.1
1978,7.8
1979,7.9
1980,8.1
1981,8.0
1982,7.9
1983,8.0
1984,8.0
1985,8.0
1986,7.9
1987,7.8
1988,8.0
1989,7.9
1990,7.9
1991,7.9
1992,7.8
1993,7.9
1994,8.2
1995,8.0
1996,7.9
1997,7.9
1998,7.9
1999,8.0
2000,8.0
2001,7.9
2002,7.9
2003,8.0
2004,7.9
2005,7.9
2006,7.9
2007,7.9
2008,7.9
2009,7.9
2010,7.9
2011,7.9
2012,7.9
2013,7.9
2014,7.9
2015,7.9
2016,7.9
2017,7.9
2018,8.0
2019,8.0
2020,8.1
